Station Id,Station,Précédent,Suivant,Temps entre 2 stations,Temps de Changement
127,Raspail,Edgar Quinet,Denfert-Rochereau,2.0,2.0
128,Denfert-Rochereau,Raspail,Saint-Jacques,1.0,2.0
129,Saint-Jacques,Denfert-Rochereau,Glacière,2.0,
130,Glacière,Saint-Jacques,Corvisart,1.0,
131,Corvisart,Glacière,Place d'Italie,2.0,
132,Place d'Italie,Corvisart,Nationale,3.0,2.0
133,Nationale,Place d'Italie,Chevaleret,2.0,
134,Chevaleret,Nationale,Quai de la Gare,1.0,
135,Quai de la Gare,Chevaleret,Bercy,2.0,
136,Bercy,Quai de la Gare,Dugommier,1.0,1.0
137,Dugommier,Bercy,Daumesnil,2.0,
138,Daumesnil,Dugommier,Bel-Air,1.0,1.0
139,Bel-Air,Daumesnil,Picpus,2.0,
140,Picpus,Bel-Air,Nation,3.0,
141,Nation,Picpus,Porte de la Villette,3.0,3.0
142,Porte de la Villette,Nation,Corentin Cariou,3.0,
143,Corentin Cariou,Porte de la Villette,Crimée,2.0,
144,Crimée,Corentin Cariou,Riquet,4.0,
145,Riquet,Crimée,Stalingrad,2.0,
146,Stalingrad,Riquet,Louis Blanc,1.0,2.0
147,Louis Blanc,Stalingrad,Château Landon,2.0,2.0
148,Château Landon,Louis Blanc,Gare de l'Est,1.0,
149,Gare de l'Est,Château Landon,Poissonnière,2.0,3.0
150,Poissonnière,Gare de l'Est,Cadet,1.0,
151,Cadet,Poissonnière,Le Peletier,2.0,
152,Le Peletier,Cadet,Chaussée d'Antin - La Fayette,2.0,
153,Chaussée d'Antin - La Fayette,Le Peletier,Opéra,2.0,2.0
154,Opéra,Chaussée d'Antin - La Fayette,Pyramides,2.0,3.0
155,Pyramides,Opéra,Palais Royal - Musée du Louvre,2.0,2.0
156,Palais Royal - Musée du Louvre,Pyramides,Pont Neuf,1.0,1.0
157,Pont Neuf,Palais Royal - Musée du Louvre,Châtelet,1.0,
158,Châtelet,Pont Neuf,Pont Marie (Cité des Arts),3.0,2.0
159,Pont Marie (Cité des Arts),Châtelet,Sully - Morland,2.0,
160,Sully - Morland,Pont Marie (Cité des Arts),Jussieu,3.0,
161,Jussieu,Sully - Morland,Place Monge,2.0,2.0
162,Place Monge,Jussieu,Censier - Daubenton,2.0,
163,Censier - Daubenton,Place Monge,Les Gobelins,3.0,
164,Les Gobelins,Censier - Daubenton,Place d'Italie,2.0,
165,Place d'Italie,Les Gobelins,Tolbiac,3.0,2.0
166,Tolbiac,Place d'Italie,Maison Blanche,2.0,
167,Maison Blanche,Tolbiac,Porte d'Italie,1.0,
168,Porte d'Italie,Maison Blanche,Porte de Choisy,1.0,
169,Porte de Choisy,Porte d'Italie,Porte d'Ivry,2.0,
170,Porte d'Ivry,Porte de Choisy,Maison Blanche,1.0,
171,Maison Blanche,Porte d'Ivry,Louis Blanc,2.0,
172,Louis Blanc,Maison Blanche,Jaurès,1.0,
173,Jaurès,Louis Blanc,Bolivar,3.0,
174,Bolivar,Jaurès,Buttes Chaumont,1.0,
175,Buttes Chaumont,Bolivar,Botzaris,2.0,
